Year,Make,Model,Trim,Body,Transmission,Vin,Region,Condition,Odometer,Color,Interior,Seller,Mmr,Sellingprice,Profit,Profit Margin,Margin Tier,Sale Year,Sale Month,Sale Quarter,Month Label,Saledate
2009,BMW,X5,xDrive30i,Suv,automatic,5uxfe43539l261322,California,35,68258,silver,black,premium auto wholesale,19400,18500,-900,-4.864864865,Low Margin,2014,12,4,2014-12,Tue Dec 30 2014 15:00:00
2009,Honda,Civic,Hybrid,Sedan,automatic,jhmfa36269s009366,California,,35026,blue,tan,north county hyundai,8075,10300,2225,21.60194175,High Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:30:00
2010,Volkswagen,Jetta,Limited Edition PZEV,Sedan,automatic,3vwjz7aj4am090047,California,31,85549,gray,black,lobel financial corp,6150,4200,-1950,-46.42857143,Low Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:30:00
2009,Audi,A4,2.0T Premium quattro,Sedan,automatic,waumf78k29n024408,California,34,75451,black,black,the car exchange,12700,11500,-1200,-10.43478261,Low Margin,2015,1,1,2015-01,Wed Jan 07 2015 12:30:00
2009,Land Rover,Range Rover Sport,Supercharged,Suv,automatic,salsh23419a190158,California,29,54756,gray,black,the car exchange,26100,27000,900,3.333333333,Low Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:30:00
2009,BMW,1 Series,128i,Convertible,manual,wbaun13599vh77695,California,43,77269,gray,gray,high bid trading co inc,10500,14250,3750,26.31578947,High Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:15:00
2009,Honda,Fit,Base,Hatchback,manual,jhmge87219s037631,California,38,95044,gray,gray,arrowhead auto group inc,6000,7000,1000,14.28571429,Medium Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2009,Chevrolet,Tahoe,LS,Suv,,1gnfc13c89r175822,California,39,68223,gray,black,reliance motors llc,15800,18100,2300,12.70718232,Medium Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2009,BMW,3 Series,328i,Sedan,automatic,wbaph57549nl77854,California,35,53743,black,black,mercedes benz of laguna niguel,12700,13500,800,5.925925926,Medium Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:30:00
2010,Volkswagen,CC,Sport,Sedan,automatic,wvwml7an9ae526529,California,29,75123,silver,black,buyers auto sales,9250,10400,1150,11.05769231,Medium Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:30:00
2009,Mercedes-Benz,C-Class,C300 Luxury,Sedan,automatic,wddgf54x09r067827,California,35,98605,white,black,arrowhead auto group inc,12300,13250,950,7.169811321,Medium Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
