Year,Make,Model,Trim,Body,Transmission,Vin,Region,Condition,Odometer,Color,Interior,Seller,Mmr,Sellingprice,Profit,Profit Margin,Margin Tier,Sale Year,Sale Month,Sale Quarter,Month Label,Saledate
2015,Kia,Sorento,LX,Suv,automatic,5xyktca69fg566472,California,5,16639,white,black,kia motors america  inc,20500,21500,1000,4.651162791,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 12:30:00
2015,Kia,Sorento,LX,Suv,automatic,5xyktca69fg561319,California,5,9393,white,beige,kia motors america  inc,20800,21500,700,3.255813953,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 12:30:00
2014,BMW,3 Series,328i SULEV,Sedan,automatic,wba3c1c51ek116351,California,45,1331,gray,black,financial services remarketing (lease),31900,30000,-1900,-6.333333333,Low Margin,2015,1,1,2015-01,Thu Jan 15 2015 04:30:00
2015,Volvo,S60,T5,Sedan,automatic,yv1612tb4f1310987,California,41,14282,white,black,volvo na rep/world omni,27500,27750,250,0.9009009009,Low Margin,2015,1,1,2015-01,Thu Jan 29 2015 04:30:00
2014,BMW,6 Series Gran Coupe,650i,Sedan,automatic,wba6b2c57ed129731,California,43,2641,gray,black,financial services remarketing (lease),66000,67000,1000,1.492537313,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:30:00
2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap1fn326013,California,1,5554,gray,black,enterprise vehicle exchange / tra / rental / tulsa,15350,10900,-4450,-40.82568807,Low Margin,2014,12,4,2014-12,Tue Dec 30 2014 12:00:00
2014,BMW,M5,Base,Sedan,automatic,wbsfv9c51ed593089,California,34,14943,black,black,the hertz corporation,69000,65000,-4000,-6.153846154,Low Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:30:00
2014,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb2e7128460,California,2,28617,black,black,enterprise vehicle exchange / tra / rental / tulsa,11900,9800,-2100,-21.42857143,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 13:00:00
2014,Audi,A4,2.0T Premium Plus quattro,Sedan,automatic,wauffafl3en030343,California,42,9557,white,black,audi mission viejo,32100,32250,150,0.4651162791,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2014,Chevrolet,Camaro,LT,Convertible,automatic,2g1fb3d37e9218789,California,3,4809,red,black,d/m auto sales inc,26300,17500,-8800,-50.28571429,Low Margin,2015,1,1,2015-01,Tue Jan 20 2015 04:00:00
2014,Audi,A6,3.0T Prestige quattro,Sedan,automatic,wauhgafc0en062916,California,48,14414,black,black,desert auto trade,47300,49750,2450,4.924623116,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 12:30:00
2015,Kia,Optima,LX,Sedan,automatic,5xxgm4a73fg353538,California,48,2034,red,tan,kia motors finance,15150,17700,2550,14.40677966,Medium Margin,2014,12,4,2014-12,Tue Dec 16 2014 12:00:00
2015,Ford,Fusion,SE,Sedan,automatic,3fa6p0hdxfr145753,California,2,5559,white,beige,enterprise vehicle exchange / tra / rental / tulsa,15350,12000,-3350,-27.91666667,Low Margin,2015,1,1,2015-01,Tue Jan 13 2015 12:00:00
2015,Kia,Sorento,LX,Suv,automatic,5xyktca66fg561407,California,5,14634,silver,black,kia motors america  inc,20600,21500,900,4.186046512,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 12:30:00
2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sbxe7120097,California,,15686,blue,black,avis rac/san leandro,13900,10600,-3300,-31.13207547,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 12:00:00
2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap5fc124223,California,2,11398,black,black,enterprise vehicle exchange / tra / rental / tulsa,14750,14100,-650,-4.609929078,Low Margin,2014,12,4,2014-12,Tue Dec 23 2014 12:00:00
2015,Hyundai,Sonata,SE,Sedan,automatic,5npe24af4fh001562,California,,8311,red,—,avis tra,15200,4200,-11000,-261.9047619,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 13:00:00
2014,Audi,Q5,2.0T Premium Plus quattro,Suv,automatic,wa1lfafpxea085074,California,49,7983,white,black,audi north scottsdale,37100,40000,2900,7.25,Medium Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:30:00
2014,Chevrolet,Camaro,LS,Coupe,automatic,2g1fa1e39e9134494,California,17,13441,black,black,wells fargo dealer services,17750,17000,-750,-4.411764706,Low Margin,2014,12,4,2014-12,Tue Dec 30 2014 15:00:00
2014,BMW,6 Series,650i,Convertible,automatic,wbayp9c53ed169260,California,34,8819,black,black,the hertz corporation,68000,67200,-800,-1.19047619,Low Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:30:00
2015,Chevrolet,Impala,LTZ,Sedan,automatic,2g1165s30f9103921,California,19,14538,silver,black,enterprise vehicle exchange / tra / rental / tulsa,24300,7200,-17100,-237.5,Low Margin,2015,7,3,2015-07,Tue Jul 07 2015 09:30:00
2014,Chevrolet,Camaro,LT,Convertible,automatic,2g1fb3d31e9134662,California,,33450,black,black,avis rac/san leandro,20100,14700,-5400,-36.73469388,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 12:00:00
2015,Audi,A3,1.8 TFSI Premium,Sedan,automatic,wauacgff7f1002327,California,49,5826,gray,black,audi north scottsdale,24000,23750,-250,-1.052631579,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:30:00
2014,BMW,6 Series,650i,Convertible,automatic,wbayp9c57ed169262,California,38,10736,black,black,the hertz corporation,67000,65000,-2000,-3.076923077,Low Margin,2015,1,1,2015-01,Tue Jan 06 2015 12:30:00
2015,Hyundai,Sonata,SE,Sedan,automatic,5npe24af4fh038482,California,,9281,silver,gray,enterprise vehicle exchange / tra / rental / tulsa,15150,8500,-6650,-78.23529412,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 13:00:00
2015,Volvo,XC70,T6,Wagon,automatic,yv4902nb3f1198103,California,42,16506,brown,brown,volvo na rep/world omni,32100,32500,400,1.230769231,Low Margin,2015,2,1,2015-02,Thu Feb 26 2015 04:30:00
2015,Volvo,XC70,T6,Wagon,automatic,yv4902nb3f1196951,California,48,12725,beige,beige,volvo na rep/world omni,32300,32500,200,0.6153846154,Low Margin,2015,2,1,2015-02,Thu Feb 12 2015 04:30:00
2014,BMW,X5,sDrive35i,Suv,automatic,5uxkr2c52e0h33130,California,,11278,gray,black,avis rac/san leandro,50400,34000,-16400,-48.23529412,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 13:00:00
2014,Chevrolet,Camaro,LT,Coupe,automatic,2g1fb1e35e9238302,California,42,11874,gray,black,midway hfc fleet/ars,22200,19500,-2700,-13.84615385,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2014,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb2e7105471,California,42,37888,gray,black,enterprise vehicle exchange/orange,11600,11500,-100,-0.8695652174,Low Margin,2014,12,4,2014-12,Tue Dec 30 2014 12:30:00
2014,Audi,SQ5,3.0T Premium Plus quattro,Suv,automatic,wa1cgafp4ea030312,California,42,9606,white,black,audi of downtown l a,48600,47500,-1100,-2.315789474,Low Margin,2015,1,1,2015-01,Thu Jan 29 2015 04:00:00
2015,Kia,Sorento,LX,Suv,automatic,5xyktca60fg565226,California,5,13757,red,black,kia motors america  inc,20600,20750,150,0.7228915663,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 12:30:00
2014,Audi,S5,Premium Plus quattro,Coupe,automatic,waucgafrxea001689,California,38,5875,black,black,fratelli investment group,46500,44500,-2000,-4.494382022,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2015,Kia,Sorento,LX,Suv,automatic,5xyktca68fg559481,California,44,12862,gray,black,kia motors america  inc,20700,21000,300,1.428571429,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 12:30:00
2014,Buick,Verano,Convenience Group,Sedan,,1g4pr5sk8e4175320,California,2,19531,gray,gray,enterprise vehicle exchange / tra / rental / tulsa,15000,9200,-5800,-63.04347826,Low Margin,2015,1,1,2015-01,Tue Jan 06 2015 04:00:00
2015,Chevrolet,Suburban,LTZ,Suv,automatic,1gnskkkc3fr187901,California,45,11426,black,black,midway hfc fleet/ars,57300,59900,2600,4.340567613,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2014,BMW,3 Series,328i SULEV,Sedan,automatic,wba3c1c50ek108497,California,5,111,black,—,financial services remarketing (lease),32200,30500,-1700,-5.573770492,Low Margin,2015,1,1,2015-01,Thu Jan 15 2015 04:30:00
2014,BMW,M5,Base,Sedan,automatic,wbsfv9c56ed593069,California,38,16360,black,black,the hertz corporation,65000,64250,-750,-1.167315175,Low Margin,2015,1,1,2015-01,Tue Jan 13 2015 04:30:00
2014,BMW,3 Series,328i SULEV,Sedan,automatic,wba3c1c58ek106688,California,45,9027,white,black,financial services remarketing (lease),30200,27500,-2700,-9.818181818,Low Margin,2015,1,1,2015-01,Thu Jan 15 2015 04:30:00
2014,Cadillac,ELR,Base,Coupe,automatic,1g6rr1e48eu601450,California,47,4436,gray,black,rogue cu,49400,44000,-5400,-12.27272727,Low Margin,2015,2,1,2015-02,Wed Feb 04 2015 04:30:00
2015,Hyundai,Sonata,SE,Sedan,automatic,5npe24af2fh014813,California,,9208,silver,gray,enterprise vehicle exchange / tra / rental / tulsa,15700,10000,-5700,-57,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2014,BMW,6 Series,650i,Convertible,automatic,wbayp9c50ed169281,California,32,13205,white,black,the hertz corporation,66000,65000,-1000,-1.538461538,Low Margin,2015,1,1,2015-01,Tue Jan 06 2015 04:30:00
2015,Volvo,V60,T5,Wagon,automatic,yv1612sb9f1202043,California,41,11846,white,beige,volvo na rep/world omni,31300,30000,-1300,-4.333333333,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:30:00
2014,Chevrolet,Cruze,1LT,Sedan,,1g1pc5sb6e7128803,California,,38261,white,—,avis tra,11450,2000,-9450,-472.5,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 13:00:00
2014,BMW,X6,xDrive35i,Suv,automatic,5uxfg2c53e0h11080,California,4,379,white,black,financial services remarketing (lease),54800,51700,-3100,-5.996131528,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:30:00
2015,Volvo,V60,T5,Wagon,automatic,yv1612sb1f1201503,California,42,12242,black,gray,volvo na rep/world omni,31200,30000,-1200,-4,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:30:00
2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb6e7118217,California,34,40661,silver,black,avis corporation,13050,13000,-50,-0.3846153846,Low Margin,2015,1,1,2015-01,Thu Jan 22 2015 03:30:00
2014,Acura,ILX,Technology Package,Sedan,automatic,19vde1f70ee008913,California,25,9051,gray,black,american honda motor company,22700,21250,-1450,-6.823529412,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2015,Kia,Sorento,LX,Suv,automatic,5xyktca67fg570973,California,5,13878,silver,black,kia motors america  inc,20600,20750,150,0.7228915663,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 12:30:00
2015,Volvo,V60,T5,Wagon,automatic,yv1612sbxf1202276,California,37,10906,silver,black,volvo na rep/world omni,31500,30000,-1500,-5,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:30:00
2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap4fn313644,California,,10678,gray,black,enterprise vehicle exchange / tra / rental / tulsa,15150,11600,-3550,-30.60344828,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2014,BMW,6 Series Gran Coupe,650i,Sedan,automatic,wba6b2c51ed129563,California,42,7305,white,black,the hertz corporation,65000,66100,1100,1.664145234,Low Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:30:00
2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap1fn331213,California,1,4314,black,black,enterprise vehicle exchange / tra / rental / tulsa,15500,11500,-4000,-34.7826087,Low Margin,2014,12,4,2014-12,Tue Dec 30 2014 12:00:00
2015,Kia,K900,Luxury,Sedan,automatic,knalw4d42f6019667,California,42,5304,blue,black,kia motors america  inc,39500,40000,500,1.25,Low Margin,2015,2,1,2015-02,Tue Feb 17 2015 04:30:00
2015,Kia,Sorento,LX,Suv,automatic,5xyktca63fg570727,California,48,10357,silver,gray,kia motors america  inc,20700,20500,-200,-0.9756097561,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 12:30:00
2015,Chevrolet,Malibu,LT,Sedan,automatic,1g11d5sl6fu106427,California,1,6105,silver,black,enterprise vehicle exchange / tra / rental / tulsa,16600,9800,-6800,-69.3877551,Low Margin,2015,1,1,2015-01,Wed Jan 14 2015 07:05:00
2015,Lexus,RX 350,Base,Suv,automatic,2t2zk1ba7fc155782,California,43,7770,white,black,lexus financial services,41200,38400,-2800,-7.291666667,Low Margin,2014,12,4,2014-12,Tue Dec 30 2014 00:00:00
2015,Kia,Sorento,LX,Suv,automatic,5xykt3a62fg579841,California,5,5214,white,black,kia motors finance,19400,19300,-100,-0.518134715,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 12:00:00
2014,BMW,M5,Base,Sedan,automatic,wbsfv9c51ed097712,California,47,7766,gray,black,fratelli investment group,71000,77250,6250,8.090614887,Medium Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2015,Kia,K900,Luxury,Sedan,automatic,knalw4d42f6018633,California,44,9684,white,gray,kia motors america  inc,41000,41000,0,0,Low Margin,2015,1,1,2015-01,Tue Jan 20 2015 04:30:00
2015,Audi,A3,1.8 TFSI Premium,Sedan,automatic,wauacgff6f1029938,California,2,31,white,black,enterprise vehicle exchange / tra / rental / tulsa,24200,17300,-6900,-39.88439306,Low Margin,2014,12,4,2014-12,Tue Dec 23 2014 12:00:00
2015,Nissan,Versa,1.6 SL,Sedan,manual,3n1cn7ap7fl842707,California,39,1608,purple,black,nissan-infiniti lt,10900,11000,100,0.9090909091,Low Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:30:00
2014,Chevrolet,Camaro,LT,Coupe,automatic,2g1fb1e35e9238493,California,31,9914,black,black,midway hfc fleet/ars,22500,20600,-1900,-9.223300971,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2015,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae2fh565969,California,1,7879,silver,gray,enterprise vehicle exchange / tra / rental / tulsa,13800,10500,-3300,-31.42857143,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 12:00:00
2015,Kia,Sorento,LX,Suv,automatic,5xyktca6xfg560888,California,5,14176,white,black,kia motors america  inc,20600,21250,650,3.058823529,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 12:30:00
2014,Chevrolet,Camaro,LT,Coupe,automatic,2g1fb1e33e9211499,California,41,17594,gray,black,midway hfc fleet/ars,21500,19600,-1900,-9.693877551,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2015,Audi,A3,1.8 TFSI Premium,Sedan,automatic,wauacgff1f1002467,California,5,1906,gray,black,audi north scottsdale,24100,25750,1650,6.40776699,Medium Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:30:00
2014,BMW,6 Series,650i,Convertible,automatic,wbayp9c55ed169261,California,4,8037,black,black,the hertz corporation,67000,65000,-2000,-3.076923077,Low Margin,2015,1,1,2015-01,Tue Jan 06 2015 12:30:00
2015,Nissan,Versa Note,1.6 SV,Hatchback,automatic,3n1ce2cp8fl371361,California,2,5773,red,black,enterprise vehicle exchange / tra / rental / tulsa,12050,9000,-3050,-33.88888889,Low Margin,2015,1,1,2015-01,Tue Jan 13 2015 12:00:00
2014,BMW,X1,sDrive28i,Suv,automatic,wbavm1c53evw47779,California,48,19689,white,black,financial services remarketing (lease),23700,26500,2800,10.56603774,Medium Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:30:00
2014,BMW,,750Li,Sedan,automatic,wbaye8c59ed134514,California,43,12172,black,black,financial services remarketing (lease),67000,66000,-1000,-1.515151515,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:30:00
2014,Chevrolet,Camaro,LT,Coupe,automatic,2g1fb1e31e9248986,California,1,20595,red,gray,enterprise vehicle exchange / tra / rental / tulsa,20800,13600,-7200,-52.94117647,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 13:00:00
2015,Volvo,V60,T5,Wagon,automatic,yv1612sb8f1201529,California,4,13623,silver,black,volvo na rep/world omni,28400,28000,-400,-1.428571429,Low Margin,2015,2,1,2015-02,Thu Feb 26 2015 04:30:00
2014,BMW,6 Series,650i,Coupe,automatic,wbaym9c53ed248064,California,4,9837,black,—,financial services remarketing (lease),62000,61500,-500,-0.8130081301,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:30:00
2014,Chevrolet,Camaro,LT,Coupe,automatic,2g1fb1e37e9270877,California,3,13606,black,black,enterprise vehicle exchange / tra / rental / tulsa,21400,13000,-8400,-64.61538462,Low Margin,2015,1,1,2015-01,Tue Jan 06 2015 13:00:00
2014,BMW,6 Series Gran Coupe,650i,Sedan,automatic,wba6b2c53ed128866,California,29,37752,white,black,financial services remarketing (lease),62000,58000,-4000,-6.896551724,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 12:30:00
2015,Kia,Sorento,LX,Suv,automatic,5xyktca68fg570979,California,44,9161,silver,black,kia motors america  inc,20800,22250,1450,6.516853933,Medium Margin,2014,12,4,2014-12,Tue Dec 16 2014 12:30:00
2015,Kia,Sorento,LX,Suv,automatic,5xyktca65fg571619,California,5,11001,white,black,kia motors america  inc,20700,22500,1800,8,Medium Margin,2014,12,4,2014-12,Tue Dec 16 2014 12:30:00
2014,Buick,Enclave,Leather Group,Suv,automatic,5gakrbkd2ej294045,California,1,14599,gray,black,enterprise vehicle exchange / tra / rental / tulsa,31000,24100,-6900,-28.63070539,Low Margin,2014,12,4,2014-12,Tue Dec 30 2014 12:00:00
2014,BMW,M5,Base,Sedan,automatic,wbsfv9c54ed593085,California,38,13386,white,black,the hertz corporation,67000,65000,-2000,-3.076923077,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:30:00
2014,BMW,M5,Base,Sedan,automatic,wbsfv9c55ed593080,California,41,15161,white,black,the hertz corporation,66000,65801,-199,-0.3024270148,Low Margin,2014,12,4,2014-12,Tue Dec 23 2014 12:30:00
2014,Audi,TTS,quattro,Coupe,automatic,trub1afk9e1007640,California,28,3996,silver,black,fratelli investment group,41400,34250,-7150,-20.87591241,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2015,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae2fh566023,California,2,10551,red,gray,enterprise vehicle exchange / tra / rental / tulsa,13850,10600,-3250,-30.66037736,Low Margin,2015,1,1,2015-01,Tue Jan 13 2015 13:00:00
2014,BMW,4 Series,428i SULEV,Coupe,automatic,wba3n7c55ef719079,California,37,18152,white,black,street smartz auto sales corporation,31000,39750,8750,22.01257862,High Margin,2014,12,4,2014-12,Tue Dec 16 2014 12:30:00
2015,Kia,Sorento,LX,Suv,automatic,5xyktca64fg570963,California,46,13452,silver,black,kia motors america  inc,20600,21500,900,4.186046512,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 12:30:00
2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb5e7115504,California,41,37938,black,black,avis rac/san leandro,12950,13700,750,5.474452555,Medium Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:30:00
2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb0e7134820,California,42,39623,blue,black,avis corporation,13350,13200,-150,-1.136363636,Low Margin,2015,1,1,2015-01,Thu Jan 15 2015 03:30:00
2014,Chevrolet,Silverado 2500HD,Work Truck,Crew Cab,,1gc1kvc84ef152736,California,36,8742,white,gray,enterprise fleet management exchange  inc.,34000,34000,0,0,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 11:30:00
2015,Kia,Sorento,LX,Suv,automatic,5xyktca60fg563086,California,5,16348,gray,gray,kia motors america  inc,20500,20500,0,0,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 12:30:00
2015,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae2fh553630,California,,9750,blue,gray,avis rac/san leandro,13700,10000,-3700,-37,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 12:00:00
2015,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae4fh552981,California,35,3367,silver,gray,ag leaseplan,13900,13200,-700,-5.303030303,Low Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:30:00
2014,Acura,MDX,Advance and Entertainment Packages,Suv,automatic,5fryd3h83eb011004,California,49,21523,white,gray,onemain rem/m&m auto traders,39500,41500,2000,4.819277108,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2015,Ford,Fusion,SE,Sedan,automatic,3fa6p0h7xfr151689,California,1,4205,white,black,enterprise vehicle exchange / tra / rental / tulsa,14700,12000,-2700,-22.5,Low Margin,2014,12,4,2014-12,Wed Dec 17 2014 15:05:00
2014,BMW,6 Series,650i,Convertible,automatic,wbayp9c53ed169288,California,37,8891,silver,black,the hertz corporation,68000,67200,-800,-1.19047619,Low Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:30:00
2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb8e7420706,California,2,8154,silver,black,enterprise vehicle exchange / tra / rental / tulsa,14150,10000,-4150,-41.5,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2014,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcpcrecxeg363552,California,37,6726,black,black,repo remarketing/visterra credit union,26900,30250,3350,11.07438017,Medium Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:30:00
2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb4e7109323,California,37,36771,silver,black,avis rac/san leandro,13000,13600,600,4.411764706,Low Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:30:00
2015,Kia,Sorento,LX,Suv,automatic,5xyktca67fg567068,California,49,9552,burgundy,beige,kia motors america  inc,20800,21000,200,0.9523809524,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 12:30:00
2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb3e7406616,California,1,10673,red,black,enterprise vehicle exchange / tra / rental / tulsa,14150,3300,-10850,-328.7878788,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 13:00:00
2015,Volvo,V60,T5,Wagon,automatic,yv1612sb6f1202338,California,37,14806,white,beige,volvo na rep/world omni,30700,30000,-700,-2.333333333,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:30:00
2014,Chevrolet,Camaro,LS,Coupe,manual,2g1fe1e34e9190976,California,44,7924,white,black,tdaf remarketing,17850,18500,650,3.513513514,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 12:30:00
2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap4fn310470,California,1,12752,gray,black,enterprise vehicle exchange / tra / rental / tulsa,14600,9500,-5100,-53.68421053,Low Margin,2014,12,4,2014-12,Tue Dec 30 2014 13:00:00
2014,BMW,6 Series,650i,Convertible,automatic,wbayp9c5xed169286,California,38,19499,silver,—,the hertz corporation,63000,62000,-1000,-1.612903226,Low Margin,2015,2,1,2015-02,Thu Feb 12 2015 04:30:00
2015,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae0fh574105,California,1,6759,blue,gray,enterprise vehicle exchange / tra / rental / tulsa,13800,5800,-8000,-137.9310345,Low Margin,2014,12,4,2014-12,Wed Dec 17 2014 15:05:00
2014,BMW,5 Series,535d,Sedan,automatic,wbaxa5c52ed689665,California,48,12292,white,black,financial services remarketing (lease),46300,46500,200,0.4301075269,Low Margin,2015,1,1,2015-01,Thu Jan 15 2015 04:30:00
2014,BMW,6 Series,650i,Convertible,automatic,wbayp9c59ed169280,California,37,15727,white,black,the hertz corporation,66000,65000,-1000,-1.538461538,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:30:00
2015,Kia,Sorento,LX,Suv,automatic,5xyktca64fg570672,California,49,13711,white,black,kia motors america  inc,20600,21750,1150,5.287356322,Medium Margin,2014,12,4,2014-12,Tue Dec 16 2014 12:30:00
2014,Cadillac,SRX,Luxury,Suv,automatic,3gyfnbe32es536307,California,44,8683,white,black,lease plan usa,33500,30000,-3500,-11.66666667,Low Margin,2014,12,4,2014-12,Tue Dec 23 2014 12:00:00
2014,BMW,X5,xDrive35i,Suv,automatic,5uxkr0c54e0k49204,California,5,4503,white,black,financial services remarketing (lease),57500,57250,-250,-0.4366812227,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:30:00
2015,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae8fh565992,California,2,7800,silver,gray,enterprise vehicle exchange / tra / rental / tulsa,13800,9000,-4800,-53.33333333,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 12:00:00
2014,Chevrolet,Cruze,1LT,Sedan,,1g1pc5sbxe7113253,California,28,40393,gray,black,avis corporation,11450,11700,250,2.136752137,Low Margin,2014,12,4,2014-12,Tue Dec 30 2014 15:00:00
2014,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcukrec9eg452373,California,4,9685,white,black,ars/acme auto leasing,31700,30000,-1700,-5.666666667,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2015,Kia,Sorento,LX,Suv,automatic,5xyktca60fg570829,California,5,10615,burgundy,black,kia motors america  inc,20700,20500,-200,-0.9756097561,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 12:30:00
2015,Kia,Sorento,LX,Suv,automatic,5xyktca61fg560973,California,48,13031,purple,black,kia motors america  inc,20600,20750,150,0.7228915663,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 12:30:00
2014,Acura,ILX,Base,Sedan,automatic,19vde1f38ee011281,California,41,12905,silver,gray,american honda motor company,19950,20400,450,2.205882353,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2015,Kia,Sorento,LX,Suv,automatic,5xyktca61fg566806,California,48,16611,gray,black,kia motors america  inc,20500,20750,250,1.204819277,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 12:30:00
2015,Volvo,V60,T5,Wagon,automatic,yv1612sb2f1201221,California,41,12273,white,beige,volvo na rep/world omni,31200,30000,-1200,-4,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:30:00
2014,Chevrolet,Camaro,LT,Coupe,automatic,2g1fb1e34e9292660,California,,11204,black,black,enterprise vehicle exchange / tra / rental / tulsa,21900,10250,-11650,-113.6585366,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 13:00:00
2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb4e7102937,California,42,40560,gray,brown,avis corporation,12800,12800,0,0,Low Margin,2015,2,1,2015-02,Thu Feb 12 2015 03:30:00
2015,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae5fh572401,California,,5335,white,gray,enterprise vehicle exchange / tra / rental / tulsa,13850,6600,-7250,-109.8484848,Low Margin,2014,12,4,2014-12,Tue Dec 16 2014 13:00:00
2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,jn1cv6ek4dm921604,California,45,14716,white,black,nissan infiniti lt,25900,25000,-900,-3.6,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:30:00
